num;name_rus;rating_new;origin;genre;rating_old;qty_views
148;Далласский клуб покупателей;7.9;США;драма/ биография;8.1;257979
149;Троя;8;США/ Мальта;боевик/ история;8.1;253254
150;Человек-паук;7.6;США;фантастика/ боевик;8.1;277179
151;Мальчик в полосатой пижаме;8.2;Великобритания/ США;драма/ военный;8.1;238824
152;Запах женщины;8.4;США;драма;8.1;221038
153;Труп невесты;7.8;США/ Великобритания;мультфильм/ мюзикл;8.1;172102
154;Дело храбрых;8;США;боевик/ драма;8.1;133676
155;Человек дождя;8.2;США;драма;8.1;250989
156;В поисках Немо;7.9;США;мультфильм/ комедия;8.1;236946
157;Достать ножи;8;США;детектив/ комедия;8.1;465056
158;Люди в черном;8;США;фантастика/ боевик;8.1;299323
159;Балто;8.3;США;мультфильм/ драма;8.1;157892
160;Вторая жизнь Уве;8;Швеция;драма/ мелодрама;8.1;120235
161;Судья;7.9;США;драма;8.1;180814
162;Мстители;7.9;США;фантастика/ боевик;8.1;504044
163;Шерлок Холмс и доктор Ватсон: Сокровища Агры;8.3;СССР;мелодрама/ криминал;8.1;87033
164;Белый Бим Черное ухо;8.4;СССР;драма;8.1;97447
165;Исчезнувшая;8;США;триллер/ драма;8.1;420361
166;Летят журавли;8.3;СССР;военный/ мелодрама;8.1;91982
167;Военный ныряльщик;8.1;США;драма/ биография;8.1;100126
168;Славные парни;8.1;США;драма/ криминал;8.1;152638
169;Три билборда на границе Эббинга  Миссури;8.2;Великобритания/ США;драма/ криминал;8.1;312898
170;Форма голоса;8.1;Япония;аниме/ мультфильм;8.1;63886
171;Вам и не снилось...;8.2;СССР;драма/ мелодрама;8.1;96382
172;Спасти рядового Райана;8.2;США;драма/ военный;8.1;246226
173;Бесславные ублюдки;7.9;США/ Германия;боевик/ драма;8.1;350151
174;Терминал;8.1;США;драма/ мелодрама;8;260872
175;Мимино;8.1;СССР;драма/ комедия;8;103447
176;Богемская рапсодия;8;Великобритания/ США;биография/ музыка;8;366534
177;Ледниковый период;8;США;мультфильм/ фэнтези;8;315453
178;Красавица и чудовище;8.3;США;мультфильм/ мюзикл;8;253006
179;Гордость и предубеждение;8;Великобритания/ Франция;драма/ мелодрама;8;162751
180;Берегись автомобиля;8.2;СССР;мелодрама/ комедия;8;140989
181;Шерлок Холмс и доктор Ватсон: Кровавая надпись;8.4;СССР;криминал/ детектив;8;100516
182;Ученик чудовища;8.1;Япония;аниме/ мультфильм;8;41516
183;За бортом;8;США;мелодрама/ комедия;8;89982
184;Остров собак;8.1;США/ Германия;мультфильм/ фантастика;8;94899
185;Линкольн для адвоката;7.8;США;триллер/ драма;8;229767
186;Хранители;7.6;США;фантастика/ боевик;8;217696
187;Восточный ветер;8.1;Германия;приключения/ семейный;8;51887
188;Темный рыцарь: Возрождение легенды;8.1;Великобритания/ США;фантастика/ боевик;8;376009
189;Трасса 60;8;Канада/ США;фантастика/ фэнтези;8;259020
190;Блеф;8.2;Италия;комедия/ криминал;8;98470
191;Доспехи Бога;7.8;Гонконг/ Югославия;боевик/ комедия;8;72980
192;Иди и смотри;8.1;СССР;драма/ военный;8;71921
193;Эрин Брокович;7.8;США;драма/ биография;8;64016
194;Умница Уилл Хантинг;8.1;США;драма/ мелодрама;8;195482
195;Звёздные войны: Эпизод 1 – Скрытая угроза;7.9;США;фантастика/ фэнтези;8;253917
196;Заплати другому;8.1;США;драма;8;137931
197;Однажды в Америке;8.3;США/ Италия;драма/ криминал;8;132524
198;Гангстер;7.9;США/ Великобритания;драма/ криминал;8;126356
199;Лекарь: Ученик Авиценны;7.7;Германия;приключения/ история;8;92194
200;12 стульев;8.2;СССР;комедия/ приключения;8;199749
201;Лучшее предложение;8;Италия;триллер/ драма;8;251978
202;Отель «Гранд Будапешт»;7.9;США/ Германия;комедия/ приключения;8;323807
203;Знакомьтесь  Джо Блэк;8;США;фэнтези/ мелодрама;8;228661
204;Гонка;8.1;Великобритания/ Германия;спорт/ драма;8;189247
205;В погоне за счастьем;8.2;США;драма/ биография;8;266026
206;Паразиты;8.1;Корея Южная;триллер/ драма;8;248594
207;Крепкий орешек;8;США;боевик/ триллер;8;218870
208;Аватар;7.9;США/ Великобритания;фантастика/ боевик;8;701381
209;Искупление;8;Великобритания/ Франция;драма/ мелодрама;8;146135
210;Последний самурай;8.1;США/ Новая Зеландия;боевик/ драма;8;165820
211;Пленницы;7.8;США;триллер/ драма;8;202732
212;Дурак;8.1;Россия;драма;8;290000
213;Шерлок Холмс;8.1;США/ Германия;боевик/ приключения;8;475152
214;Бесподобный мистер Фокс;7.9;США/ Великобритания;мультфильм/ драма;8;73580
215;Золотой телёнок;8.2;СССР;комедия;8;96462
216;Гаттака;8;США;фантастика/ драма;8;147458
217;Брестская крепость;8;Беларусь/ Россия;военный/ боевик;8;116598
218;Гнев;7.9;США/ Великобритания;боевик/ триллер;8;147570
219;Чужие;8;Великобритания/ США;ужасы/ фантастика;8;180423
220;Старикам тут не место;7.8;США;триллер/ драма;8;167425
221;Крестный отец 2;8.5;США;драма/ криминал;8;172705
222;Радио;7.9;США;драма/ биография;8;20308
223;Римские каникулы;8.3;США;мелодрама/ комедия;8;108101
224;Привидение;8.2;США;мелодрама/ фэнтези;8;226622
225;Спирит: Душа прерий;8.1;США;мультфильм/ драма;8;91412
226;Чужой;8.1;Великобритания/ США;ужасы/ фантастика;8;215411
227;Ип Ман 4;7.8;Гонконг/ Китай;боевик/ биография;8;58818
228;Казино;8.1;Франция/ США;драма/ криминал;8;129758
229;Великий Гэтсби;7.9;Австралия/ США;драма/ мелодрама;8;357617
230;Небесный замок Лапута;8.2;Япония;аниме/ мультфильм;8;55327
231;Работа без авторства;8;Германия/ Италия;биография/ драма;8;70268
232;Вселенная Стивена Хокинга;7.9;Великобритания/ Япония;биография/ мелодрама;8;161125
233;Области тьмы;8;США/ Мексика;фантастика/ триллер;8;548013
234;Город бога;8;Бразилия/ Франция;драма/ криминал;8;118536
235;Рапунцель: Запутанная история;7.9;США;мультфильм/ мюзикл;8;330157
236;Анастасия;8.1;США;мультфильм/ мюзикл;8;144650
237;Скрытые фигуры;7.7;США;драма/ биография;8;76683
238;Бойфренд из будущего;7.9;Великобритания/ США;фантастика/ фэнтези;8;154120
239;Бешеные псы;8.1;США;триллер/ криминал;8;234663
240;Дюна;8;США/ Канада;фантастика/ боевик;8;92204
241;Лицо со шрамом;8.2;США;драма/ криминал;8;179791
242;Капернаум;8.2;Ливан/ США;драма;8;126432
243;Мальчишник в Вегасе;7.9;США;комедия;8;302556
244;Моана;7.6;США;мультфильм/ мюзикл;8;272520
245;Марсианин;7.7;Великобритания/ США;фантастика/ приключения;8;415831
246;Как приручить дракона;8.2;США;мультфильм/ фэнтези;8;436911
247;Майор Пэйн;7.6;США;комедия/ приключения;8;147146
248;Наруто 9: Путь ниндзя;7.9;Япония;аниме/ мультфильм;8;21049
249;Маленький принц;7.9;Франция/ Канада;мультфильм/ фэнтези;8;58441
250;Константин: Повелитель тьмы;7.8;США/ Германия;ужасы/ фэнтези;8;339934
